elem_0,param_0,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,directed_hausdorff_u_1,directed_hausdorff_v_1,MSE_On_test_2,R2_2,smape_2,directed_hausdorff_2,directed_hausdorff_u_2,directed_hausdorff_v_2,Name,lasso_gamma,delay,noise,noise_percentage,k_fold
1.0,0.5,0.0004631321935653,0.9996146975433252,0.0021859266276061,1.285528826835474,1,1,0.0014635156956398,0.9987824292917944,0.0035694391082311,2.376819161642272,1,1,Aizawa,0,5,Laplace_noise,0,0
1.0,0.5,0.0027095255814255,0.9979045878861952,0.0015542926660137,2.2373141529540024,2,2,0.015169378955491,0.9882687579552172,0.0049256548665049,5.296805854275948,2,2,AnishchenkoAstakhov,0,5,Laplace_noise,0,0
1.0,0.5,1.0766861039696908e-06,0.9999990766770392,0.0007953385051393,0.047175370556537,0,0,1.1708013840881717e-06,0.9999989959675372,0.0008195148560542,0.0479162521792395,0,0,Arneodo,0,5,Laplace_noise,0,0
1.0,0.5,5.300612095558488e-07,0.999999484808128,0.0004557358670187,0.0477978382327134,0,0,6.678453617869693e-07,0.9999993508891124,0.000531212686562,0.0519971633709832,0,0,ArnoldBeltramiChildress,0,5,Laplace_noise,0,0
1.0,0.5,4.772596951356166,0.840210324859573,0.2420228200879494,171.40642196375757,0,0,10.274576374903884,0.6560004463220224,0.4703791769046915,251.4043331388306,0,0,ArnoldWeb,0,5,Laplace_noise,0,0
1.0,0.5,0.000183374611393,0.9998876226293358,0.0044524019998953,0.6259556494807195,2,2,0.000178327466461,0.9998907156686204,0.0046976481123205,0.6590915789079627,2,2,AtmosphericRegime,0,5,Laplace_noise,0,0
1.0,0.5,0.0229760649472107,0.99567912864347,0.0037918121290141,10.183156838140786,1,1,0.0353990532055619,0.9933428654821606,0.00598847659466,12.507237603006994,1,1,BeerRNN,0,5,Laplace_noise,0,0
1.0,0.5,9.704676412639756,0.9998357250622552,0.0010217275318482,215.8174094707325,2,2,968.9160539850076,0.9835987705637534,0.0268852644210759,2156.432455274178,2,2,BelousovZhabotinsky,0,5,Laplace_noise,0,0
1.0,0.5,1.4555452029355118e-06,0.9999996452332018,0.000159039900804,0.0770027820281479,0,0,1.925895793616624e-06,0.999999530592466,0.00018992133614,0.0905874508718187,0,0,BickleyJet,0,5,Laplace_noise,0,0
1.0,0.5,0.0004530976893691,0.9997884754486652,0.0006268216659174,1.0313282802492136,2,2,0.0006450823070941,0.9996988491692111,0.0008165127697754,1.2293497900014945,2,2,Blasius,0,5,Laplace_noise,0,0
1.0,0.5,0.0003960345201049,0.9996376378607352,0.0073036667562599,0.915985726418582,1,1,0.0005506752004983,0.9994961453268272,0.0104775038785364,1.0674159263776537,1,1,BlinkingRotlet,0,5,Laplace_noise,0,0
1.0,0.5,0.0003331158025552,0.9996390826969694,0.0140242412572126,0.8493666506412297,0,0,0.0004350791950099,0.9995286095451996,0.0167367147437932,0.971555748137405,0,0,BlinkingVortex,0,5,Laplace_noise,0,0
1.0,0.5,0.005028891057519,0.997822282251819,0.0021150100089905,4.577286760963241,1,1,0.0169081399992419,0.992678076310676,0.0048754251904966,8.454632302625374,1,1,Bouali,0,5,Laplace_noise,0,0
1.0,0.5,0.0034755092418887,0.9985882767798002,0.0016040176751001,3.611346110662548,1,1,0.0259165046412223,0.9894729293343651,0.0053093387828105,10.29397538143078,1,1,Bouali2,0,5,Laplace_noise,0,0
1.0,0.5,0.0157226662455392,0.9839161892527944,0.0102600619377848,5.235037824838891,1,1,0.0247412089463478,0.9746904935756028,0.0156180518444108,6.667050835181391,2,2,BurkeShaw,0,5,Laplace_noise,0,0
1.0,0.5,3.571140455275277e-05,0.9999966798418832,0.0001876299775785,0.3077071690882213,2,2,0.0001471277584325,0.9999863212487032,0.0002557179841817,0.6192175012313778,2,2,CaTwoPlus,0,5,Laplace_noise,0,0
1.0,0.5,6.710267864354385e-06,0.9999990419128028,0.0002629564409106,0.1420516132693077,1,1,9.594989706156091e-06,0.9999986300343024,0.0002844284057358,0.1660767176790533,1,1,CaTwoPlusQuasiperiodic,0,5,Laplace_noise,0,0
1.0,0.5,0.1167796500705621,0.940557387200714,0.0138275825120444,15.564927672883783,3,3,0.3770874238231686,0.8080567829047531,0.0390291333338905,28.09081144273721,3,3,CellCycle,0,5,Laplace_noise,0,0
1.0,0.5,9.018337462587969e-08,0.999999911761224,0.0004993010344476,0.0131934425614396,2,2,1.1534386809985106e-07,0.9999998871432592,0.0005394365803474,0.0152037217795034,2,2,CellularNeuralNetwork,0,5,Laplace_noise,0,0
1.0,0.5,0.0354210984428683,0.9916380443865732,0.0070455062837637,12.045101827449145,2,2,0.0872976397616979,0.979391407355092,0.0144050372356105,18.996187802410613,2,2,Chen,0,5,Laplace_noise,0,0
1.0,0.5,6.804649603644372e-06,0.9999973141277452,0.0008127465071499,0.1640625401813112,2,2,7.163649468888878e-06,0.999997172426433,0.0008988785307043,0.1674900197347943,2,2,ChenLee,0,5,Laplace_noise,0,0
1.0,0.5,8.30441075213302e-08,0.999999919543794,0.0003882757896936,0.012211237531731,1,1,9.467467451548281e-08,0.99999990827567,0.0004005911516461,0.0131926892341676,1,1,Chua,0,5,Laplace_noise,0,0
1.0,0.5,0.0012758367646188,0.9990887909389712,0.0024961757144962,2.5516113037217485,0,0,0.0054248807313269,0.9961255227827972,0.0056233760896735,5.143347552266224,0,0,CircadianRhythm,0,5,Laplace_noise,0,0
