System,Optimization method,Metric,Value
Arneodo,Trained Gaussian kernel,MSE,2.9268988063989734e-07
Arneodo,Trained Gaussian kernel,Hausdorff Distance,0.0245701284202931
Arneodo,Trained Gaussian kernel,SMAPE,0.0010696118349899
Arneodo,Random Initialization,MSE,46.609308137394834
Arneodo,Random Initialization,Hausdorff Distance,62.27698761305179
Arneodo,Random Initialization,SMAPE,0.3052111259640673
Arneodo,Gaussian kernel with sigma=0.5,MSE,1.0766861039696908e-06
Arneodo,Gaussian kernel with sigma=0.5,Hausdorff Distance,0.047175370556537
Arneodo,Gaussian kernel with sigma=0.5,SMAPE,0.0007953385051393
ArnoldBeltramiChildress,Regular KFs,MSE,6.403477419659948e-07
ArnoldBeltramiChildress,Regular KFs,Hausdorff Distance,0.0413946171433525
ArnoldBeltramiChildress,Regular KFs,SMAPE,0.0013585350990603
ArnoldBeltramiChildress,Sparse KFs with gamma=0.0001,MSE,2.3453939619397257e-05
ArnoldBeltramiChildress,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.2212623798174882
ArnoldBeltramiChildress,Sparse KFs with gamma=0.0001,SMAPE,0.0048139372810823
ArnoldBeltramiChildress,Sparse KFs with gamma=0.001,MSE,5.098080579432724e-07
ArnoldBeltramiChildress,Sparse KFs with gamma=0.001,Hausdorff Distance,0.04023544453914
ArnoldBeltramiChildress,Sparse KFs with gamma=0.001,SMAPE,0.0016538046733707
ArnoldBeltramiChildress,Sparse KFs with gamma=0.01,MSE,6.157594662165076e-07
ArnoldBeltramiChildress,Sparse KFs with gamma=0.01,Hausdorff Distance,0.0471856737419325
ArnoldBeltramiChildress,Sparse KFs with gamma=0.01,SMAPE,0.0015959199712755
ArnoldBeltramiChildress,Sparse KFs with gamma=0.1,MSE,7.443421447673849e-06
ArnoldBeltramiChildress,Sparse KFs with gamma=0.1,Hausdorff Distance,0.1324330472711122
ArnoldBeltramiChildress,Sparse KFs with gamma=0.1,SMAPE,0.0039300713138761
ArnoldBeltramiChildress,Sparse KFs with gamma=1.0,MSE,2.9047695725518782e-06
ArnoldBeltramiChildress,Sparse KFs with gamma=1.0,Hausdorff Distance,0.0811005164744795
ArnoldBeltramiChildress,Sparse KFs with gamma=1.0,SMAPE,0.0036199192885275
ArnoldBeltramiChildress,Sparse KFs with gamma=10.0,MSE,0.0003114909367245
ArnoldBeltramiChildress,Sparse KFs with gamma=10.0,Hausdorff Distance,0.7313879850585501
ArnoldBeltramiChildress,Sparse KFs with gamma=10.0,SMAPE,0.0259016483633505
ArnoldBeltramiChildress,Trained Gaussian kernel,MSE,6.56846231530027e-07
ArnoldBeltramiChildress,Trained Gaussian kernel,Hausdorff Distance,0.0350347223080178
ArnoldBeltramiChildress,Trained Gaussian kernel,SMAPE,0.0016449979911815
ArnoldBeltramiChildress,Random Initialization,MSE,232.86028907531107
ArnoldBeltramiChildress,Random Initialization,Hausdorff Distance,310.4632870058456
ArnoldBeltramiChildress,Random Initialization,SMAPE,0.4801060596748016
ArnoldBeltramiChildress,Gaussian kernel with sigma=0.5,MSE,5.300612095558488e-07
ArnoldBeltramiChildress,Gaussian kernel with sigma=0.5,Hausdorff Distance,0.0477978382327134
ArnoldBeltramiChildress,Gaussian kernel with sigma=0.5,SMAPE,0.0004557358670187
