elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,directed_hausdorff_u_1,directed_hausdorff_v_1,MSE_On_test_2,R2_2,smape_2,directed_hausdorff_2,directed_hausdorff_u_2,directed_hausdorff_v_2,Name,lasso_gamma,delay,noise,noise_percentage,k_fold,res_type,res_type_A
0.7310585786300049,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004631321935653,0.9996146975433252,0.0021859266276061,1.285528826835474,1,1,0.0014635156956398,0.9987824292917944,0.0035694391082311,2.376819161642272,1,1,Aizawa,0.0,5,Laplace_noise,0,0,Gaussian kernel with sigma=0.5,Gaussian kernel with sigma=0.5
0.7526216427457032,0.7576513922467824,0.8156143787921254,0.7466375031764333,0.9778972647412157,0.9708921866780248,0.9980615924511874,0.9977452632387833,0.7786588894703806,0.823276339775875,0.8426853907771691,0.94916991490734,0.9963128696445541,0.9968564873402705,0.9497643279079483,0.9863885271140732,0.7831278524127743,0.9917622847964118,0.9872055354094047,0.9637794507873733,0.769853381385361,1.616860434213322,0.8744773614459251,0.8681175544465449,0.3126803308548311,0.3307329353199144,2.1138175797099974,0.5542516548451288,0.7800898234967217,0.5108669852642089,0.7537104418826472,0.7168163781158956,0.7013301975869732,0.885135595514063,1.4788165696031712,1.4455427030720769,1.9480056914961408,0.3149912175119598,0.8684875879530611,1.114607508910679,2.118597612377793,0.4946258861493235,1.105390714039466,0.8263677511793226,2.212802107082449,1.941261058198365,1.0185560466345571,0.448613365117706,1.575295989704444,1.4138689339764516,1.668639032635472,1.1940550324956216,0.4376539184095682,0.8218955010785678,0.316224697623262,0.3275961455130576,43.98090050715789,0,0,1.1777261155915495,0.0201917035087755,0.4430909075946082,53.229096723289146,0,0,Aizawa,0.0,5,Laplace_noise,0,0,Random Initialization,Random Initialization
0.7249963777883415,0.9999999999931493,0.9996992729961557,0.9888944213868283,0.9826317958166438,0.06307735999079907,0.9999998130434372,0.7591019342625246,8.165070258950568e-05,0.998340026532684,0.9912344603289741,0.7327438585945767,0.9978520642247245,0.999064539345482,0.9964347907367377,0.9983954574667611,0.28134299285405,0.9958465503874192,0.732227789507523,1.343260922393277e-12,0.7308925114045316,1.2895245178815555,44176.568536915845,586.2783037145766,2.0949855409560865,-28.03695584801858,24.050072371059084,-37.94888062967667,5.423667196437822,-1.1708744076359798,-6.809212619215577,-160.84217583630485,311.0009091470187,-6.783948625838407,1.7663851468380851,-6343686.136841636,3192343.0192172187,-142.15319365431188,-19.2934775676581,33.104991341950594,1.8120619115575745,0.9611106582107642,2.1144310641205024,-40.74744861676303,-24.11553654743787,175.3867201211192,-9.380674317678524,17.619268836883066,-3.815925348902337,0.7749421269751785,-234.929707279638,96.51861202249032,,1.1110067346530129e-08,0.9999999907171544,0.0006830228225367,0.0080549257873386,2,2,11.0,11.0,11.0,11.0,11,11,Aizawa,0.0,5,Laplace_noise,0,0,Regular KFs,Regular KFs
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.521404062031359,979.9426786411476,-872.3629730723604,3.5,3.6787014146611416,3.5344728656572824,4.401669433846092,3.227082436659109,4.370962941452894,11.802072095064233,5.983545886756388,3.345410829477454,3.33002390027495,3.743330346142604,2.978441352294331,3.4837470055675377,3.425165244005773,3.607052598219629,3.532632149570133,3.709131138421392,3.5,3.5,3.668823784017713,3.771184391395136,3.56891748031917,3.740953419656537,1.1451844284648436,3.6013036908718354,3.5,-0.7574207543146739,7.876475585360902,,1.7942655217337327e-09,0.9999999985100352,0.0002224959273717,0.0027957313047888,0,0,11.0,11.0,11.0,11.0,11,11,Aizawa,0.0001,5,Laplace_noise,0,1,Sparse KFs with gamma=0.0001,Sparse KFs
0.0,1.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999982736947,0.0,0.0,0.0,0.9999997539267513,1.0,0.0,0.0,0.0,0.0,2.133819125329355,59565.69165651435,57597.47311778214,3.528932534865985,-22.74970271149617,1.801504954463524,4.68888469446632,-4.964637132853605,-3.052927511779498,-857.9720382941591,180.58481214480912,121.2311817681039,58.608900022363656,-23.764561196317725,-276.55931914345314,129.05323707604646,14.90601813007392,-3.83206009717954,3.0479399060842325,13.615097461495512,2.5426825870092484,3.0695022388252005,43.48393088553125,-4.64077131490237,3.3608887238247163,-0.54978724407142,-272.6343929152474,17.81514879026879,2.773922909678133,534.9402596402888,-518.9573705991744,,1.8448811102750158e-09,0.999999998455045,0.0001655240307572,0.0028717630129911,0,0,11.0,11.0,11.0,11.0,11,11,Aizawa,0.001,5,Laplace_noise,0,1,Sparse KFs with gamma=0.001,Sparse KFs
0.0,1.0,1.0,0.9999999999999983,1.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.6366425430782998,792.5301516020896,-486.73886978394825,2.0,-52.731423768869554,-28.32058182546124,6.030347214583641,-6.097494728620871,-55.638997291042806,-214.06940851497748,2740.388730193386,207.993821052982,-4.571584493472104,-74.78297729511132,-16.336256410427488,48.53004935154374,51.36031685396611,-28.89459233597116,-23.91437279490217,-46.980495898139935,2.0,2.0,-73.06948655022059,-60.45502418864987,-43.81241344750118,-53.5867424167522,-6.294961618207432,-56.6124173239893,2.0,72.79399471755097,-58.30184002592743,,2.043166083925264e-09,0.999999998292864,0.0001899825712212,0.0027286007119025,0,0,11.0,11.0,11.0,11.0,11,11,Aizawa,0.01,5,Laplace_noise,0,1,Sparse KFs with gamma=0.01,Sparse KFs
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4667151265826868,2391.658628189437,-2219.865262227141,3.5,2.660971096973069,3.4094433787961527,18.14844873603093,4.615493746450125,2.1615118770721606,-31.05420041161152,10.092922717366312,1.5337597139345205,2.9245256550221854,3.624174620875033,6.629609380892082,4.061857141299209,3.683503050147984,3.229070022425882,3.413184585395914,3.778584479967805,3.5,3.5,3.310594379127075,2.960284155494902,3.3533153119337977,3.032847308488777,4.730268856842009,3.3449240030874963,3.5,45.22691004633821,-39.75278869132041,,1.7751193423244335e-09,0.9999999985259344,0.0002307916267734,0.0027835661743215,0,0,11.0,11.0,11.0,11.0,11,11,Aizawa,0.1,5,Laplace_noise,0,2,Sparse KFs with gamma=0.1,Sparse KFs
0.0,0.9999999924419731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.945598635718388,2064.376689611135,11364.126718307158,2.75,-36.14236295956672,0.3191082107519656,-400397.26808490657,10.616592820863946,-6.540464593176142,-1131.5764153147695,2.8522504224574448,4.023812320399548,5.006514579658296,2.01851103779471,-11.455037030546178,29.23954299328033,6.42119461956719,-3.566508027567976,1.4834099955950042,1.430579738378986,2.75,2.75,4.085760984681115,-4.142013208305007,1.4889363669608486,-2.921523001813932,-141.29403962771573,-15.664418755316346,2.75,14.347648251279802,-6.505805845685873,,1.9018176496862624e-09,0.9999999984073646,0.000322295546122,0.0026654542632816,0,0,11.0,11.0,11.0,11.0,11,11,Aizawa,1.0,5,Laplace_noise,0,2,Sparse KFs with gamma=1.0,Sparse KFs
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4684690245090146,1672.75062972071,-1539.1668722906447,3.5,2.261628494047892,3.10925541486778,5.6240509133508825,4.467776375905632,-1.1681103831509725,111.55408889777534,31.923222271816574,-8.984668807952046,2.906871080612307,3.1934586062063457,6.437046575873518,2.9894963917360435,3.907162441590709,2.9060356810901578,3.225282541571939,3.0298169940559867,3.5,3.5,2.307095923161669,2.262379640897278,2.8834228070982704,1.9949439242305933,21.714842756061604,2.816132109693741,3.5,9.409059904080978,-2.0711555110476034,,1.8139886228111323e-09,0.9999999984936572,0.0002228063965714,0.0028370824985297,0,0,11.0,11.0,11.0,11.0,11,11,Aizawa,10.0,5,Laplace_noise,0,1,Sparse KFs with gamma=10.0,Sparse KFs
0.7259474971694033,,,,,,,,,,,,,,,,,,,,,1.983269023257976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.465362521773308e-07,0.9999997116994432,0.0020485646740058,0.0243635792290974,1,1,3.434562203161553e-07,0.9999997142618732,0.0020430827268092,0.0241379132709785,1,1,Aizawa,0.0,5,Laplace_noise,0,1,Trained Gaussian kernel,Trained Gaussian kernel
