Name,res_type,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,lasso_gamma
HyperCai,Sparse KFs with gamma=0.01,8.573294146881814e-09,0.9999999978780014,9.502923784563712e-05,0.0078559082753474,0.01
HyperJha,Sparse KFs with gamma=1.0,5.493003336252913e-09,0.9999999979801798,9.42732358676803e-05,0.005602498806463567,1.0
HyperLorenz,Sparse KFs with gamma=0.0001,8.565397165649168e-09,0.9999999969091804,0.00016258227117836666,0.007153370495447134,0.0001
HyperLu,Sparse KFs with gamma=1.0,6.743283436487573e-09,0.9999999979937226,9.450568017787398e-05,0.006348502425959334,1.0
HyperPang,Sparse KFs with gamma=10.0,8.621675765239317e-09,0.9999999975541142,0.00017758924193529973,0.0076274983564890335,10.0
HyperQi,Sparse KFs with gamma=0.01,5.021248936386088e-09,0.9999999961902373,0.00010691392734424265,0.004881704411663434,0.01
HyperRossler,Sparse KFs with gamma=0.001,5.4103794398109186e-09,0.9999999991683866,0.00032524035411723334,0.008010585657567267,0.001
HyperWang,Sparse KFs with gamma=0.0001,4.058230319454039e-09,0.9999999985143023,7.612562069374977e-05,0.005001108585920033,0.0001
HyperXu,Sparse KFs with gamma=10.0,1.0606648637809439e-08,0.9999999971002635,0.00012058608760114352,0.008312656103700035,10.0
HyperYan,Sparse KFs with gamma=0.0001,5.396682299573154e-09,0.9999999969893144,0.00010895694211938158,0.0056387473025124,0.0001
HyperYangChen,Sparse KFs with gamma=0.01,8.741862658731383e-09,0.9999999972834956,0.00017645317539246666,0.006885760270788067,0.01
IkedaDelay,Sparse KFs with gamma=0.0001,6.950906835150444e-06,0.9999898777432531,0.004475530688433133,0.1558210881304844,0.0001
IsothermalChemical,Sparse KFs with gamma=0.01,5.928218080444803e-07,0.9999999881255089,2.2532397599061853e-05,0.042926341264749625,0.01
ItikBanksTumor,Sparse KFs with gamma=0.1,9.271612264663263e-08,0.999999932720489,0.022071373415115735,0.015311368318558567,0.10000000000000002
JerkCircuit,Sparse KFs with gamma=0.01,2.7968221130847957e-05,0.9999741489698811,0.001191176634172,0.40086452837248426,0.01
