elem_0,param_0,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,directed_hausdorff_u_1,directed_hausdorff_v_1,MSE_On_test_2,R2_2,smape_2,directed_hausdorff_2,directed_hausdorff_u_2,directed_hausdorff_v_2,Name,lasso_gamma,delay,noise,noise_percentage,k_fold
0.9736070081962862,1.9753262980578243,3.644534785961186e-07,0.999999696793221,0.0020663334412268,0.026104516499766,1,1,4.259927698960482e-07,0.999999645595657,0.0022262572948618,0.0284505115924208,1,1,Aizawa,0,5,Laplace_noise,0,0
0.9741579900591492,1.983269023257976,3.465362521773308e-07,0.9999997116994432,0.0020485646740058,0.0243635792290974,1,1,3.434562203161553e-07,0.9999997142618732,0.0020430827268092,0.0241379132709785,1,1,Aizawa,0,5,Laplace_noise,0,1
0.9734288312548396,1.983087078650947,3.5999137853377746e-07,0.9999997005054616,0.0020627221826022,0.0247666617910091,1,1,3.635038425563772e-07,0.99999969758327,0.0020677855361527,0.0249006971861065,1,1,Aizawa,0,5,Laplace_noise,0,2
0.9839041611041196,1.573795884334765,1.377231943077298e-06,0.99999893491742,0.0008875403522417,0.0547703307312626,1,1,1.5224399441623274e-06,0.9999988226207852,0.0009797681775753,0.0580570653323134,1,1,AnishchenkoAstakhov,0,5,Laplace_noise,0,0
0.9845985125000316,1.5947597922147694,1.5279836391598862e-06,0.9999988183335676,0.0009358381447231,0.0620766187154691,1,1,1.634487224101583e-06,0.9999987359690004,0.0009336662469834,0.0646173019505534,1,1,AnishchenkoAstakhov,0,5,Laplace_noise,0,1
0.9835998369944468,1.5715814139782047,1.2397576595147648e-06,0.9999990412331828,0.0009269247399297,0.0507205958298055,1,1,1.266572404894145e-06,0.9999990204959944,0.0009257235909939,0.0513895572765098,1,1,AnishchenkoAstakhov,0,5,Laplace_noise,0,2
0.9701221365594644,1.5663024800069898,2.7398180142082655e-07,0.99999976504416,0.0010277458315852,0.0238806500545945,1,1,3.430001702270611e-07,0.999999705856766,0.001106568208881,0.0262051967350941,1,1,Arneodo,0,5,Laplace_noise,0,0
0.966896554070745,1.580965754905835,2.9679838212160933e-07,0.9999997454775724,0.0010883697960017,0.024399932668963,1,1,2.949306640723428e-07,0.9999997470792528,0.0010837114020562,0.0243483446940968,1,1,Arneodo,0,5,Laplace_noise,0,1
0.9673013571539768,1.567169500569228,3.0728945837725613e-07,0.9999997364808448,0.0010927198773829,0.0254298025373218,1,1,3.114129824761861e-07,0.9999997329446754,0.0011011929804568,0.025576048328304,1,1,Arneodo,0,5,Laplace_noise,0,2
0.9876187275378104,1.0448560791827837,4.6547816138210525e-07,0.9999995475794852,0.0014432942233401,0.0296599731723467,0,0,8.358320122955074e-07,0.9999991876148426,0.0019417919628358,0.0402721684544639,0,0,ArnoldBeltramiChildress,0,5,Laplace_noise,0,0
0.9875202462804268,1.0563809116236482,7.111582026052736e-07,0.9999993087912884,0.0016063224885061,0.0378521477691299,0,0,7.599835969977497e-07,0.9999992613355496,0.0020330523599909,0.0396338731262011,0,0,ArnoldBeltramiChildress,0,5,Laplace_noise,0,1
0.9877204165466152,1.046055037341863,7.939023306027025e-07,0.999999228368308,0.0018853772616983,0.037592045982577,0,0,9.281142036548796e-07,0.999999097921362,0.0020249246169453,0.0409465103200397,0,0,ArnoldBeltramiChildress,0,5,Laplace_noise,0,2
1.0000004699993406,0.2258889574720586,12.205772631130896,0.591342729452125,0.5233479524237452,273.83298859311435,0,0,16.7060492305891,0.4406705182432661,0.7144062389103953,320.36776329756367,0,0,ArnoldWeb,0,5,Laplace_noise,0,0
1.000000475520462,0.2233970724826687,11.23120021955074,0.623972052781631,0.4849552837724331,262.192475719255,0,0,20.62893313500975,0.3093297930385397,0.8878234182072788,355.6536236259624,0,0,ArnoldWeb,0,5,Laplace_noise,0,1
1.00000053362595,0.2272831242639247,12.004790067700458,0.5980717574523449,0.5136310349515184,270.3777776142493,0,0,20.582482333953745,0.3108849963139058,0.8828773508429896,354.34905776669945,0,0,ArnoldWeb,0,5,Laplace_noise,0,2
0.9709969333576705,0.8215057436099522,6.43800045643939e-05,0.9999605460342555,0.0060620832205643,0.4057541346531211,2,2,9.454973556593464e-05,0.999942057133214,0.0067354442519528,0.4657678072934331,1,1,AtmosphericRegime,0,5,Laplace_noise,0,0
0.9722138180274916,0.8476972257861415,0.0001065410271975,0.999934708516008,0.0058565451569996,0.5032851327837068,1,1,0.0001197071424891,0.9999266399322104,0.0060537767824724,0.5285117686651608,1,1,AtmosphericRegime,0,5,Laplace_noise,0,1
0.9705368433031568,0.8202320092894977,0.0002551121237172,0.9998436597658196,0.0059280007659299,0.930278252470609,1,1,0.0002607242263543,0.9998402205037896,0.0063328604237262,0.9363433373154568,1,1,AtmosphericRegime,0,5,Laplace_noise,0,2
0.915179930192788,1.5031703270080543,2.720182977068488e-05,0.999994884432675,0.001477479162148,0.2635864111537189,0,0,5.5617138859992535e-05,0.9999895406588212,0.0017543528223821,0.3720339354921164,0,0,BeerRNN,0,5,Laplace_noise,0,0
0.9174130294922656,1.4990704780546495,2.908754554095037e-05,0.999994529805576,0.0019079039290068,0.3058854682371313,0,0,2.8762127174665757e-05,0.999994591003649,0.0020241308599347,0.304530658067153,0,0,BeerRNN,0,5,Laplace_noise,0,1
0.914977066639426,1.5005530202452877,2.7169174136066888e-05,0.9999948905738832,0.0016837758014582,0.2966972136354278,0,0,2.7451755334680235e-05,0.999994837431754,0.001649376385892,0.2972959373018139,0,0,BeerRNN,0,5,Laplace_noise,0,2
